Organization,Link,Date Scraped,Type
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-02-02-nr-su-q4-2021-en.pdf?modified=20220203002122,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-02-02-nr-su-q4-dividend-en.pdf?modified=20220831142652,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-01-18-nr-su-q4-2021-update-eng.pdf?modified=20220830213833,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-12-29-ma-su-to-release-fourth-quarter-results-en.pdf?modified=20220907174801,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-12-13-nr-su-2022-corporate-guidance-en.pdf?modified=20220907174752,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-10-27-nr-su-q3-2021-en.pdf?modified=20220907174737,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-10-27-nr-su-q3-dividend-en.pdf?modified=20220907174743,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-10-20-ma-su-to-release-second-quarter-results-en.pdf?modified=20220907174731,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-10-01-nr-su-ownership-of-syncrude-en.pdf?modified=20220907174724,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-09-16-nr-su-ncp-partnership-en.pdf?modified=20220907174716,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-09-08-nr-su-white-rose-conditional-agreement-en.pdf?modified=20220907174708,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-09-08-nr-su-terra-nova-extension-en.pdf?modified=20220907174703,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-07-28-nr-su-q2-2021-en.pdf?modified=20220907174649,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-07-28-nr-su-q2-dividend-en.pdf?modified=20220907174656,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-07-21-ma-su-to-release-second-quarter-results-en.pdf?modified=20220907174641,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-07-13-nr-su-report-on-sustainability-and-climate-2021-en.pdf?modified=20220907174635,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-06-16-nr-su-terra-nova-agreement-in-principle-en.pdf?modified=20220907174629,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-06-06-pathways-press-release-en.pdf?modified=20220907174624,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-05-26-nr-su-corporate-strategy-update-en.pdf?modified=20220907174616,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-05-19-suncor-to-hold-investor-day-2021-en.pdf?modified=20220907174611,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-05-11-h2-project-announcement-en.pdf?modified=20220907174604,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_05_04_nr_su_agm_shareholder_results_en.pdf?modified=20220907174551,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_05_03_nr_su_q1_2021_en.pdf?modified=20220907174546,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_05_03_nr_q1_dividend_en.pdf?modified=20220907174539,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-04-27-suncor-to-release-first-quarter-results-and-hold-am.pdf?modified=20220907174557,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_03_18_nr_su_svante_en.pdf?modified=20220907174531,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_03_02_nr_su_concurrent_offering_en.pdf?modified=20220907174524,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_02_25_nr_su_files_disclosure_documents_en.pdf?modified=20220907174516,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_02_24_nr_board_stand_for_election_r_girling_en.pdf?modified=20220907174504,10/27/2025,pdf
