Wayback Link,Link
http://web.archive.org/web/20221229224816/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-12-28-nr-su-ccr-en.pdf?modified=20221228234322,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-12-28-nr-su-ccr-en.pdf?modified=20221228234322
http://web.archive.org/web/20230207183456/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-12-23-nr-update-fort-hills-acquisition-en.pdf?modified=20221223230242,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-12-23-nr-update-fort-hills-acquisition-en.pdf?modified=20221223230242
http://web.archive.org/web/20221204092508/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-29-news-release-su-announces-2023-production-outlook-en.pdf?modified=20221129115724,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-29-news-release-su-announces-2023-production-outlook-en.pdf?modified=20221129115724
http://web.archive.org/web/20221203161021/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-29-news-release-su-to-retain-and-optimize-petro-canada-en.pdf?modified=20221129114829,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-29-news-release-su-to-retain-and-optimize-petro-canada-en.pdf?modified=20221129114829
http://web.archive.org/web/20221207102941/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-23-ma-suncor-energy-to-hold-investor-presentation-in-toronto-ontario-en.pdf?modified=20221123223327,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-23-ma-suncor-energy-to-hold-investor-presentation-in-toronto-ontario-en.pdf?modified=20221123223327
http://web.archive.org/web/20221115232639/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-15-news-release-su-increases-quarterly-dividend-en.pdf?modified=20221115230313,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-15-news-release-su-increases-quarterly-dividend-en.pdf?modified=20221115230313
http://web.archive.org/web/20221129003228/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-02-news-release-earnings-q3-2022-en.pdf?modified=20221121221802,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-02-news-release-earnings-q3-2022-en.pdf?modified=20221121221802
http://web.archive.org/web/20221207111207/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-27-ma-suncor-energy-to-release-third-quarter-2022-financial-results-en.pdf?modified=20221027212658,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-27-ma-suncor-energy-to-release-third-quarter-2022-financial-results-en.pdf?modified=20221027212658
http://web.archive.org/web/20221111084658/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-26-nr-su-to-acquire-additional-working-interest-in-fort-hills-project-en.pdf?modified=20221027002630,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-26-nr-su-to-acquire-additional-working-interest-in-fort-hills-project-en.pdf?modified=20221027002630
http://web.archive.org/web/20221207110610/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-11-suncor-energy-to-hold-investor-presentation-in-toronto-ontario-en.pdf?modified=20221107205853,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-11-suncor-energy-to-hold-investor-presentation-in-toronto-ontario-en.pdf?modified=20221107205853
http://web.archive.org/web/20221207103100/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-05-news-release-su-focuses-on-hydrogen-and-renewable-fuels-en.pdf?modified=20221107205824,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-05-news-release-su-focuses-on-hydrogen-and-renewable-fuels-en.pdf?modified=20221107205824
http://web.archive.org/web/20221207101421/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-04-nr-su-tender-offer-results-upsizing-en.pdf?modified=20221107205754,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-04-nr-su-tender-offer-results-upsizing-en.pdf?modified=20221107205754
http://web.archive.org/web/20221207092621/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-04-nr-su-tender-offer-pricing-en.pdf?modified=20221107205715,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-04-nr-su-tender-offer-pricing-en.pdf?modified=20221107205715
http://web.archive.org/web/20221207090707/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-09-26-news-release-tender-launch-announcement-en.pdf?modified=20221107205630,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-09-26-news-release-tender-launch-announcement-en.pdf?modified=20221107205630
http://web.archive.org/web/20220811230431/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-08-04-news-release-earnings-q2-2022-en.pdf?modified=20220809193241,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-08-04-news-release-earnings-q2-2022-en.pdf?modified=20220809193241
http://web.archive.org/web/20221007101037/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-08-04-news-release-q2-dividend-en.pdf?modified=20220809194109,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-08-04-news-release-q2-dividend-en.pdf?modified=20220809194109
http://web.archive.org/web/20221007101510/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-27-media-advisory-q2-2022-results-en.pdf?modified=20220909213641,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-27-media-advisory-q2-2022-results-en.pdf?modified=20220909213641
http://web.archive.org/web/20221007084025/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-18-news-release-su-enters-agreement-elliott-en.pdf?modified=20220909213549,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-18-news-release-su-enters-agreement-elliott-en.pdf?modified=20220909213549
http://web.archive.org/web/20230207171510/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-08-suncor-energy-announces-ceo-transition-en.pdf?modified=20221101215243,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-08-suncor-energy-announces-ceo-transition-en.pdf?modified=20221101215243
http://web.archive.org/web/20221007090748/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-07-news-release-su-responds-to-fatality-at-base-plant-mine-en.pdf?modified=20220909213051,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-07-news-release-su-responds-to-fatality-at-base-plant-mine-en.pdf?modified=20220909213051
http://web.archive.org/web/20221007091458/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-05-media-advisory-su-to-hold-oil-sands-operations-presentation-en.pdf?modified=20220909212343,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-05-media-advisory-su-to-hold-oil-sands-operations-presentation-en.pdf?modified=20220909212343
http://web.archive.org/web/20221007100856/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-06-22-news-release-report-on-sustainability-and-climate-2022-en.pdf?modified=20220909212139,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-06-22-news-release-report-on-sustainability-and-climate-2022-en.pdf?modified=20220909212139
http://web.archive.org/web/20221007101616/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-31-news-release-wwr-restart-and-increased-suncor-interest-en.pdf?modified=20220909200308,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-31-news-release-wwr-restart-and-increased-suncor-interest-en.pdf?modified=20220909200308
http://web.archive.org/web/20221007084626/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-10-news-release-agm-results-en.pdf?modified=20220909200152,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-10-news-release-agm-results-en.pdf?modified=20220909200152
http://web.archive.org/web/20221007084710/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-earnings-q1-2022-news-release-en.pdf?modified=20220909193039,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-earnings-q1-2022-news-release-en.pdf?modified=20220909193039
http://web.archive.org/web/20221007083251/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-news-release-q1-dividend-en.pdf?modified=20220909195011,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-news-release-q1-dividend-en.pdf?modified=20220909195011
http://web.archive.org/web/20221007101337/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-28-news-release-suncor-energy-responds-to-elliot-investment-management-en.pdf?modified=20220909192402,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-28-news-release-suncor-energy-responds-to-elliot-investment-management-en.pdf?modified=20220909192402
http://web.archive.org/web/20221007085135/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-26-media-advisory-q1-2022-results-and-agm-en.pdf?modified=20220909191623,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-26-media-advisory-q1-2022-results-and-agm-en.pdf?modified=20220909191623
